image path: G000_IMG000.jpg, distances: [     3.8079      3.8601      6.7957     0.42429], match: True, time: 5.634934425354004
image path: G000_IMG001.jpg, distances: [     6.3581      118.55      57.298      7.1064], match: False, time: 4.822213649749756
image path: G000_IMG002.jpg, distances: [     4.0011      3.8653      1.8861      1.4801], match: True, time: 5.923176527023315
image path: G000_IMG003.jpg, distances: [     2.8559      2.3087      5.7844      4.2598], match: True, time: 9.444853067398071
image path: G000_IMG004.jpg, distances: [     6.9321      547.61      425.28      5.3758], match: False, time: 6.490786075592041
image path: G000_IMG005.jpg, distances: [     457.32      8.7081       9.854      507.87], match: False, time: 5.638572692871094
image path: G000_IMG006.jpg, distances: [      4.642     0.96656      6.2094      4.0677], match: True, time: 5.403441905975342
image path: G000_IMG007.jpg, distances: [     6.0728      11.709      13.242       18.74], match: True, time: 5.9561707973480225
image path: G000_IMG008.jpg, distances: [    0.40028      3.8748      11.294      2.9292], match: True, time: 7.102750301361084
image path: G000_IMG009.jpg, distances: [     6.4705      1.1102      2.8285      6.5609], match: True, time: 6.4394447803497314
image path: G000_IMG010.jpg, distances: [      10.64     0.46095      2.3575      14.788], match: True, time: 6.542469501495361
image path: G000_IMG011.jpg, distances: [     5.3232      6.2602      18.717      2.7845], match: True, time: 4.209688186645508
image path: G000_IMG012.jpg, distances: [     1.4978      5.6923      5.1923      3.4207], match: True, time: 6.7021777629852295
image path: G000_IMG013.jpg, distances: [     1.8223      2.3464      6.5098      5.1904], match: True, time: 7.293837070465088
image path: G000_IMG014.jpg, distances: [     6.2955      1.1101      4.7559      3.2869], match: True, time: 7.631862163543701
image path: G000_IMG015.jpg, distances: [     4.0408      15.445      7.1184      6.6699], match: True, time: 4.8892223834991455
image path: G000_IMG016.jpg, distances: [    0.71303       4.153      1.0151      3.0101], match: True, time: 6.740977764129639
image path: G000_IMG017.jpg, distances: [     6.1175      2.9321      6.2097      4.1036], match: True, time: 5.838625431060791
image path: G000_IMG018.jpg, distances: [     4.6496      2.9088      5.1576     0.65004], match: True, time: 5.8560791015625
image path: G000_IMG019.jpg, distances: [     3.3818      6.3295       3.137      3.7876], match: True, time: 5.472360372543335
image path: G000_IMG020.jpg, distances: [     3.8138      5.3473      6.6536      1.2734], match: True, time: 6.19182562828064
image path: G000_IMG021.jpg, distances: [      13.25      4.0039      3.7497      11.365], match: True, time: 5.6478540897369385
image path: G000_IMG022.jpg, distances: [     4.9384      2.7872      9.8252     0.96746], match: True, time: 6.780574321746826
image path: G000_IMG023.jpg, distances: [     8.5771      1.1273      3.5924      3.7803], match: True, time: 7.460224390029907
image path: G000_IMG024.jpg, distances: [     6.8271      4.9295      276.63      284.76], match: False, time: 3.22188663482666
image path: G000_IMG025.jpg, distances: [     13.065      5.0007      3.7798        7.54], match: True, time: 4.402251720428467
image path: G000_IMG026.jpg, distances: [     1.8426      2.1148     0.52392      5.3511], match: True, time: 5.209703683853149
image path: G000_IMG027.jpg, distances: [     1.7402      5.1703      4.0982      5.6257], match: True, time: 7.55106258392334
image path: G000_IMG028.jpg, distances: [     1.9891      10.047      432.18      120.05], match: False, time: 7.226056814193726
