image path: G000_IMG000.jpg, distances: [     1.4984      9.3912      4.4348       2.219], match: True, time: 0.3109395503997803
image path: G000_IMG001.jpg, distances: [     2.4387      3.4837      3.2443      1.0021], match: True, time: 0.3360762596130371
image path: G000_IMG002.jpg, distances: [     2.5675      2.9802      7.9844      3.6666], match: True, time: 0.26128387451171875
image path: G000_IMG003.jpg, distances: [     6.5972       3.618      5.3289      2.5175], match: True, time: 0.6457326412200928
image path: G000_IMG004.jpg, distances: [      2.935      6.2537      4.6859       7.441], match: True, time: 0.32398152351379395
image path: G000_IMG005.jpg, distances: [     6.8246      10.885      8.7962      1.7521], match: True, time: 0.3140602111816406
image path: G000_IMG006.jpg, distances: [     2.5685      5.2836      1.1398      1.1353], match: True, time: 0.48911309242248535
image path: G000_IMG007.jpg, distances: [     10.687      11.789      11.664      4.2608], match: True, time: 0.466721773147583
image path: G000_IMG008.jpg, distances: [     3.3186      14.231      8.6114      7.0702], match: True, time: 0.4228196144104004
image path: G000_IMG009.jpg, distances: [      4.874      4.3686      2.4555      14.017], match: True, time: 0.34102940559387207
image path: G000_IMG010.jpg, distances: [     2.1653      7.0198       3.411      15.666], match: True, time: 0.4026169776916504
image path: G000_IMG011.jpg, distances: [     5.1632      12.803      9.1502      4.9822], match: True, time: 0.32470130920410156
image path: G000_IMG012.jpg, distances: [     7.3106      9.2738      4.2307      9.9555], match: True, time: 0.3803091049194336
image path: G000_IMG013.jpg, distances: [     6.8506      1.4623      2.9624      6.0274], match: True, time: 0.37448692321777344
image path: G000_IMG014.jpg, distances: [     3.6267      5.7589      1.6098      4.6914], match: True, time: 0.3146812915802002
image path: G000_IMG015.jpg, distances: [     2.7368      2.8559      419.77      399.45], match: False, time: 0.2668886184692383
image path: G000_IMG016.jpg, distances: [     5.6402      8.9877     0.67944      4.8642], match: True, time: 0.3302114009857178
image path: G000_IMG017.jpg, distances: [      2.778      7.3284       11.29      3.3329], match: True, time: 0.31799793243408203
image path: G000_IMG018.jpg, distances: [     3.0832      3.9185      9.4058      1.7195], match: True, time: 0.2210245132446289
image path: G000_IMG019.jpg, distances: [      1.707      9.7085      3.5444      6.8346], match: True, time: 0.3149592876434326
image path: G000_IMG020.jpg, distances: [     4.5315      6.4729      14.916      1.9701], match: True, time: 0.4083566665649414
image path: G000_IMG021.jpg, distances: [     3.0154      5.9365      4.5369      3.2568], match: True, time: 0.34374499320983887
image path: G000_IMG022.jpg, distances: [     1.6063      8.8498      15.417      18.864], match: True, time: 0.45981884002685547
image path: G000_IMG023.jpg, distances: [     4.9568      12.327      6.9057      4.9194], match: True, time: 0.27658557891845703
image path: G000_IMG024.jpg, distances: [     2.2886         680      482.82      5.3472], match: False, time: 0.25179076194763184
image path: G000_IMG025.jpg, distances: [     7.0722      6.5337       3.263      5.7645], match: True, time: 0.3205537796020508
image path: G000_IMG026.jpg, distances: [     2.3863      4.1561      3.1188      8.8718], match: True, time: 0.2364177703857422
image path: G000_IMG027.jpg, distances: [     7.4423      6.6085      4.6379       10.16], match: True, time: 0.6279819011688232
image path: G000_IMG028.jpg, distances: [     8.7214      7.6132      3.2386       10.04], match: True, time: 0.342132568359375
image path: G000_IMG029.jpg, distances: [     13.764      9.4241      5.2929      12.606], match: True, time: 0.3265972137451172
image path: G000_IMG030.jpg, distances: [     5.2564      9.0575      6.4549      2.9722], match: True, time: 0.3350968360900879
